source_id,x_ref,y_ref,filename,flux,flux_err,mag,mag_err,snr,sky_bkg,temporal_snr
168,840.205199,848.419088,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,22980.344540,154.168205,-10.903391,0.007284,149.060207,10.026647,34.175653
169,536.352992,857.679117,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,6126.712929,83.328120,-9.468069,0.014766,73.525155,10.400618,21.547846
170,477.678252,861.365206,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,5606.612253,80.408636,-9.371751,0.015571,69.726493,10.936320,21.292599
26,927.872584,110.366658,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,4657.423562,70.985470,-9.170364,0.016548,65.610942,4.857579,18.417756
28,880.774087,114.162490,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,216385.944063,468.926001,-13.338073,0.002353,461.450088,44.635323,32.544735
33,661.146847,140.675554,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,3851.219792,62.920182,-8.963996,0.017738,61.208021,1.371655,13.471763
35,920.147012,150.744441,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,8904.952582,97.107678,-9.874079,0.011839,91.701838,6.683853,27.880577
36,602.787340,156.858526,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,7031.982527,86.003438,-9.617694,0.013278,81.763970,4.642344,23.985381
37,619.092573,169.192742,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,23827.175924,157.150716,-10.942681,0.007161,151.619901,11.066636,35.520932
38,861.541665,174.131087,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,12100.822307,110.571585,-10.207037,0.009921,109.438807,1.594771,30.230752
39,752.288649,185.149594,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,17941.759973,136.378581,-10.634663,0.008253,131.558488,8.369736,35.489998
42,984.056857,194.802823,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,13304.952873,117.269825,-10.310033,0.009569,113.455894,5.694679,30.567383
43,709.591071,197.689768,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,3335.994496,59.132377,-8.808063,0.019245,56.415701,2.045377,12.913045
44,783.202627,197.475437,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,10371.864567,104.654460,-10.039642,0.010955,99.105805,7.393593,27.988459
46,1021.336599,198.855772,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,3133.024273,62.104672,-8.739909,0.021521,50.447481,9.217822,11.448276
48,781.060079,218.363857,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,41853.894715,207.577561,-11.554340,0.005385,201.630150,15.718765,33.076620
49,693.721337,227.404655,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,3179.671853,66.947418,-8.755956,0.022859,47.495063,16.581207,14.106253
50,730.079827,228.391431,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,81337.064677,288.223994,-12.275721,0.003847,282.200879,22.103519,33.267232
52,690.408579,240.121202,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,71382.911784,270.587233,-12.133986,0.004116,263.807390,23.358073,32.130120
53,798.536890,245.189648,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,203213.708642,454.576618,-13.269883,0.002429,447.039511,43.623640,33.275523
54,699.575507,247.488966,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,4937.950314,80.342494,-9.233867,0.017665,61.461253,19.314611,20.796725
55,971.758026,250.749483,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,21196.099900,147.892780,-10.815640,0.007575,143.320721,8.609321,33.916835
57,476.093045,262.935867,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,4537.721269,72.132390,-9.142095,0.017258,62.908234,8.471632,19.724505
61,523.837408,274.775367,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,11744.286959,111.987737,-10.174567,0.010353,104.871188,10.147290,30.763132
62,601.971377,274.797518,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,7085.690730,87.978962,-9.625955,0.013481,80.538467,8.334715,22.902188
63,654.947372,278.607470,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,200.525367,23.516026,-5.755423,0.127322,8.527179,4.487891,-0.556471
65,491.589729,290.376736,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,3921.885987,65.727844,-8.983737,0.018196,59.668562,5.070849,18.584366
66,971.391629,296.483783,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,5068.933337,74.108450,-9.262291,0.015873,68.398858,5.387447,16.719147
67,734.048937,323.039327,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,3831.675112,65.687396,-8.958472,0.018612,58.331969,6.151769,15.682778
68,831.618730,323.633753,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,40402.255314,203.611808,-11.516014,0.005472,198.427860,13.439208,35.285758
